domain,stage,value_head,search_family,missing_stratum,candidate_seed,candidate_checkpoint_identity,candidate_instance,candidate_policy_log,candidate_search_log,candidate_source_artifact,reason,submission_group
counters,stage1_validation_selected,on,fixed,both_fail_outcome_only,1239739722,src20401271_e0080,fz_instance_16.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429535_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10P_src20401271_e0080.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430139_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401271_e0080.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,counters:on:fixed
counters,stage1_validation_selected,on,fixed,policy_failure_search_success,1239739722,src20401271_e0080,fz_instance_10.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429535_Ev_counters_counters_orig_vh_c.1_s1239739722_SR10P_src20401271_e0080.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430139_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401271_e0080.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,counters:on:fixed
counters,stage1_validation_selected,on,fixed,both_success,1073581256,src20401270_e0042,fz_instance_10.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20429518_Ev_counters_counters_orig_vh_c.1_s1073581256_SR10P_src20401270_e0042.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430136_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401270_e0042.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,counters:on:fixed
drone,stage1_validation_selected,off,fixed,policy_success_search_failure,1963100312,src20401207_e0157,problem_2_5_4.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450747_Ev_drone_drone_orig_novh_c.1_s1963100312_SR10P_src20401207_e0157.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451722_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401207_e0157.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,drone:off:fixed
drone,stage1_validation_selected,off,fixed,both_fail_outcome_only,1073581256,src20401209_e0090,problem_10_10_3.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,drone:off:fixed
drone,stage1_validation_selected,off,fixed,policy_failure_search_success,1073581256,src20401209_e0090,problem_8_1_4.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,drone:off:fixed
drone,stage1_validation_selected,off,fixed,both_success,1073581256,src20401209_e0090,problem_1_1_2.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20450765_Ev_drone_drone_orig_novh_c.1_s1073581256_SR10P_src20401209_e0090.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,drone:off:fixed
drone,stage1_validation_selected,on,fixed,policy_success_search_failure,2011206605,src20401198_e0019,problem_6_8_1.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425406_Ev_drone_drone_orig_vh_c.1_s2011206605_SR10P_src20401198_e0019.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430051_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401198_e0019.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,drone:on:fixed
drone,stage1_validation_selected,on,fixed,both_fail_outcome_only,1073581256,src20401199_e0118,problem_10_10_3.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20431837_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10P_src20401199_e0118.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,drone:on:fixed
drone,stage1_validation_selected,on,fixed,policy_failure_search_success,1073581256,src20401199_e0118,problem_1_9_3.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20431837_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10P_src20401199_e0118.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,drone:on:fixed
drone,stage1_validation_selected,on,fixed,both_success,1073581256,src20401199_e0118,problem_1_1_2.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20431837_Ev_drone_drone_orig_vh_c.1_s1073581256_SR10P_src20401199_e0118.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20431945_Ev_drone_drone_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401199_e0118.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,drone:on:fixed
fo_counters,stage1_validation_selected,off,fixed,policy_success_search_failure,1510771779,src20401235_e0066,instance_8.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427151_Ev_fo_counters_fo_counters_orig_novh_c.1_s1510771779_SR10P_src20401235_e0066.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430084_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401235_e0066.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:off:fixed
fo_counters,stage1_validation_selected,off,fixed,both_fail_outcome_only,1073581256,src20401230_e0022,instance_10.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:off:fixed
fo_counters,stage1_validation_selected,off,fixed,policy_failure_search_success,1073581256,src20401230_e0022,instance_5.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:off:fixed
fo_counters,stage1_validation_selected,off,fixed,both_success,1073581256,src20401230_e0022,instance_2.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430074_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401230_e0022.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:off:fixed
fo_counters,stage1_validation_selected,off,pw,both_fail_outcome_only,1073581256,src20401230_e0022,instance_10.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:off:pw
fo_counters,stage1_validation_selected,off,pw,policy_failure_search_success,1073581256,src20401230_e0022,instance_5.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:off:pw
fo_counters,stage1_validation_selected,off,pw,both_success,1073581256,src20401230_e0022,instance_2.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-off-1073581256-stage1_20838268.out,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:off:pw
fo_counters,stage1_validation_selected,on,fixed,both_fail_outcome_only,1073581256,src20401220_e0106,instance_10.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430064_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401220_e0106.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:on:fixed
fo_counters,stage1_validation_selected,on,fixed,policy_failure_search_success,1239739722,src20401221_e0092,instance_7.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426204_Ev_fo_counters_fo_counters_orig_vh_c.1_s1239739722_SR10P_src20401221_e0092.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430065_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401221_e0092.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:on:fixed
fo_counters,stage1_validation_selected,on,fixed,both_success,1073581256,src20401220_e0106,instance_2.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430064_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401220_e0106.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:on:fixed
fo_counters,stage1_validation_selected,on,pw,both_fail_outcome_only,1073581256,src20401220_e0106,instance_10.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:on:pw
fo_counters,stage1_validation_selected,on,pw,policy_failure_search_success,1073581256,src20401220_e0106,instance_6.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:on:pw
fo_counters,stage1_validation_selected,on,pw,both_success,1073581256,src20401220_e0106,instance_2.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-confirm-fo_counters-on-1073581256-stage1_20838271.out,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,fo_counters:on:pw
rover,stage1_validation_selected,off,fixed,both_fail_outcome_only,1073581256,src20401250_e0040,pfile10.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428109_Ev_rover_rover_orig_novh_c.1_s1073581256_SR10P_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,rover:off:fixed
rover,stage1_validation_selected,off,fixed,policy_failure_search_success,1073581256,src20401250_e0040,pfile5.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428109_Ev_rover_rover_orig_novh_c.1_s1073581256_SR10P_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,rover:off:fixed
rover,stage1_validation_selected,off,fixed,both_success,1073581256,src20401250_e0040,pfile1.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428109_Ev_rover_rover_orig_novh_c.1_s1073581256_SR10P_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,rover:off:fixed
rover,stage1_validation_selected,on,fixed,both_fail_outcome_only,1073581256,src20401240_e0143,pfile10.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427494_Ev_rover_rover_orig_vh_c.1_s1073581256_SR10P_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430089_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401240_e0143.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,rover:on:fixed
rover,stage1_validation_selected,on,fixed,policy_failure_search_success,1073581256,src20401240_e0143,pfile12.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427494_Ev_rover_rover_orig_vh_c.1_s1073581256_SR10P_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430089_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401240_e0143.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,rover:on:fixed
rover,stage1_validation_selected,on,fixed,both_success,1073581256,src20401240_e0143,pfile1.pddl,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427494_Ev_rover_rover_orig_vh_c.1_s1073581256_SR10P_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430089_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401240_e0143.txt,experiment_tracking/policy_mcts_instance_audit.csv,outcome is locally classified but no compact first-divergence record exists for this cell/stratum,rover:on:fixed
