array_index,manifest_id,lineage_task,value_head,seed,snapshot_epoch,source_checkpoint_ref,source_checkpoint_sha256,source_training_job_id,validation_module,validation_manifest_sha256,validation_module_sha256,ready_manifest_sha256,code_commit
10,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,90,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_90_1.0000",2264c495d09de468714bbc02e1fe2e26bf2354fcbbe1ee207515c5a04b69334e,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
11,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,95,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_95_1.0000",fbd10d7011f52b73dab523a3d14b4857cbf16d0ef48e94fcb1e2dc92bb0aee12,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
12,mprime-final-s2-off-534933607-phase-b-a-rescore,0,off,534933607,99,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:49.004947/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_99_1.0000",ea396d600c258a273ce466d010510117e8fe25947d15290fe2a9494d938f2140,21303717,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
13,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_20_1.0000",3bf5bf3da7591068de127dfcef921825060a8d3ae6456dd3b1bba31409b02f7a,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
14,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,25,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_25_1.0000",736bea82bc99456b85da722a9c173b0cc434c86b10db8d55cebf6cf1adef87ab,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
15,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,30,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_30_1.0000",b11d1bf819cdaf0756299fb378d1ea266b4ac8ff454dab3dbb07b5cea776a178,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
16,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,35,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_35_1.0000",5e48d5b54f5e6b8124ab4b0bf7aee2016a57999c743a36f20e0e03b88a72620e,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
17,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,40,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_40_1.0000",87f31df19b273bca200def0e57625ad3e82623b4d313573134960f323b80409c,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
18,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,45,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_45_1.0000",a1d784342b599ae7271913a7c325ad47f16a2f8dc4a95bfa568fc997641a0c0f,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
19,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,50,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_50_1.0000",174d294d692b2650a21b393a7540dff8f691f7d06f0a68bc4c0c14bde02aa60f,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
20,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,55,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_55_1.0000",9a124e986dff9dd80f35088e6f2640f5336e910b09c6240258cd12e2823c5082,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
21,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,60,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_60_1.0000",b7707f9802bb1bb4a8e4e8986f8a22a3da8eb6eb09fb45f879bf2d300848d47d,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
22,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,65,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_65_1.0000",0b26eaa63df6b27d94fb3781a6c2efe643fb9988fe0bff43750ed078ae586477,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
23,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,70,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_70_1.0000",4bf5ef63adc3b6bdf7c35bcf4d1de726383dd57e150a889e8d600573d363927a,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
24,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,75,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_75_1.0000",ceee83838a3d844d75807356789ec7106014120fac7abd9849287302fa3b3698,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
25,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,80,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_80_1.0000",d60193048207711db25e3864bae04ebb1ed346d1b2fe2af1bb44cd220ccac714,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
26,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,85,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_85_1.0000",0b0b66c39c34857e2e216086448c912bf1f29e9861b75dc5a3eae75e93c4f7f2,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
27,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,90,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_90_1.0000",4fda0fcb3980ef261a2df98499423faa0a612691d700320ac88fe70fc6a59ac2,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
28,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,95,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_95_1.0000",d984d460a1133bec7c85535e8bbfee8e57392d240a75f3be386b6358b2a8d337,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
29,mprime-final-s2-off-923500475-phase-b-a-rescore,1,off,923500475,99,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:25:43.353247/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942419-5194f74/snapshots/snapshot_99_1.0000",64a99ec5ade34cb54405bd379088d449f88b9cdc037e6a8239fba650d5bfb659,21303718,mprime_phase_b_20260906_0,3ab7f0ee1ed8b0bb2f799eaf8b7b917c1be713b99b8e331b98b1bd0cb0942bd9,e032085fa2c1b0a25d6ae0235a642974e87d5e1c3894f4dd20fc68bdc63879d9,5fa02096ba6250802d804ec3d7bf6acd61eca930bd8baffd441f4b73bce92142,ef274cd23605de815800656c97b360ee7ff584b8
