array_index	recovery_id	source_job_id	experiment_scope	value_head	seed	architecture_module	missing_instance_numbers	skip_instance_numbers	missing_count	checkpoint	checkpoint_b64	width	iterations	puct	estimator	workers	requested_cpus	requested_memory	time_limit	instance_timeout_seconds	source_log	source_completion_ledger	source_invocation_count
10	rover-recover-20559587	20559587	stage2_terminal_led_fixed_20_70	off	923500475	rover_mcts	9;17	1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19,20	2	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T20:55:44.574194/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911369-5194f74/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjA6NTU6NDQuNTc0MTk0L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTM2OS01MTk0Zjc0L3NuYXBzaG90cy9zbmFwc2hvdF8wXzEuMDAwMA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559587_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489468_e0000.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559587.eval_completed.jsonl	1
11	rover-recover-20559589	20559589	stage2_terminal_led_fixed_20_200	on	1472491096	rover_mcts	18	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T22:13:15.454863/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911447-43e0a7a/snapshots/snapshot_2_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjI6MTM6MTUuNDU0ODYzL1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTQ0Ny00M2UwYTdhL3NuYXBzaG90cy9zbmFwc2hvdF8yXzEuMDAwMA==	20	200	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559589_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489481_e0002.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559589.eval_completed.jsonl	1
12	rover-recover-20559590	20559590	stage2_terminal_led_fixed_20_70	off	534933607	rover_mcts	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T20:53:44.033810/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911368-3c74d66/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjA6NTM6NDQuMDMzODEwL1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTM2OC0zYzc0ZDY2L3NuYXBzaG90cy9zbmFwc2hvdF8wXzEuMDAwMA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559590_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489467_e0000.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559590.eval_completed.jsonl	1
13	rover-recover-20559637	20559637	stage2_terminal_led_fixed_20_70	off	1239739722	rover_mcts	15	1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T20:57:21.864309/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911371-7d9a779/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjA6NTc6MjEuODY0MzA5L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTM3MS03ZDlhNzc5L3NuYXBzaG90cy9zbmFwc2hvdF8wXzEuMDAwMA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559637_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489470_e0000.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559637.eval_completed.jsonl	1
14	rover-recover-20559638	20559638	stage2_terminal_led_fixed_20_70	off	1472491096	rover_mcts	18	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T21:15:27.100646/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911389-43e0a7a/snapshots/snapshot_1_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjE6MTU6MjcuMTAwNjQ2L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTM4OS00M2UwYTdhL3NuYXBzaG90cy9zbmFwc2hvdF8xXzEuMDAwMA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559638_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489471_e0001.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559638.eval_completed.jsonl	1
15	rover-recover-20559639	20559639	stage2_terminal_led_fixed_20_70	off	1510771779	rover_mcts	17;19	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20	2	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T21:35:11.236366/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911409-17cc32a/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjE6MzU6MTEuMjM2MzY2L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTQwOS0xN2NjMzJhL3NuYXBzaG90cy9zbmFwc2hvdF8wXzEuMDAwMA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559639_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489472_e0000.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559639.eval_completed.jsonl	1
16	rover-recover-20559643	20559643	stage2_terminal_led_fixed_20_70	off	2082152039	rover_mcts	8;19	1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,20	2	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T21:47:09.059368/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911421-faf7d6/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjE6NDc6MDkuMDU5MzY4L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTQyMS1mYWY3ZDYvc25hcHNob3RzL3NuYXBzaG90XzBfMS4wMDAw	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559643_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489476_e0000.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559643.eval_completed.jsonl	1
17	rover-recover-20944964	20944964	stage2_validation_led_fixed_20_70	off	923500475	rover_mcts	17	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T15:38:01.451716/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906732-5194f74/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjFUMTU6Mzg6MDEuNDUxNzE2L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNjczMi01MTk0Zjc0L3NuYXBzaG90cy9zbmFwc2hvdF8wXzEuMDAwMA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20944964_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430415_e0000.txt	/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20944964.eval_completed.jsonl	1
18	rover-recover-20945821	20945821	stage2_validation_led_fixed_20_70	off	1239739722	rover_mcts	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T14:58:32.900625/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906692-7d9a779/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjFUMTQ6NTg6MzIuOTAwNjI1L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNjY5Mi03ZDlhNzc5L3NuYXBzaG90cy9zbmFwc2hvdF8wXzEuMDAwMA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945821_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430410_e0000.txt	/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945821.eval_completed.jsonl	1
19	rover-recover-20945822	20945822	stage2_validation_led_fixed_20_70	off	1472491096	rover_mcts	18	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T15:12:10.549026/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906706-43e0a7a/snapshots/snapshot_1_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjFUMTU6MTI6MTAuNTQ5MDI2L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNjcwNi00M2UwYTdhL3NuYXBzaG90cy9zbmFwc2hvdF8xXzEuMDAwMA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945822_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430411_e0001.txt	/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945822.eval_completed.jsonl	1
20	rover-recover-20945826	20945826	stage2_validation_led_fixed_20_70	off	2011206605	rover_mcts	16	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T14:49:13.084741/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906683-067843/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjFUMTQ6NDk6MTMuMDg0NzQxL1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNjY4My0wNjc4NDMvc25hcHNob3RzL3NuYXBzaG90XzBfMS4wMDAw	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945826_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430408_e0000.txt	/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945826.eval_completed.jsonl	1
