audit_scope,domain,experiment_scope,value_head,seed,job_id,slurm_state,instance_number,instance_path,source_log,completion_ledger,source_result_ledger
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,off,1472491096,20430101,OUT_OF_MEMORY,20,pfile20,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430101_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401252_e0064.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430101.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,off,2082152039,20430103,OUT_OF_MEMORY,15,pfile15,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430103_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401254_e0021.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430103.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,off,2082152039,20430103,OUT_OF_MEMORY,16,pfile16,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430103_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401254_e0021.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430103.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,off,2082152039,20430103,OUT_OF_MEMORY,17,pfile17,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430103_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401254_e0021.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430103.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage1_validation_selected_fixed_20_70,off,2082152039,20430103,OUT_OF_MEMORY,19,pfile19,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430103_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401254_e0021.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430103.eval_completed.jsonl,experiment_tracking/experiment_results.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,on,534933607,20559583,OUT_OF_MEMORY,20,pfile20,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559583_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489477_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559583.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,on,2011206605,20559586,OUT_OF_MEMORY,20,pfile20,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559586_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCM_src20489485_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559586.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,923500475,20559587,OUT_OF_MEMORY,9,pfile9,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559587_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489468_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559587.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,923500475,20559587,OUT_OF_MEMORY,17,pfile17,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559587_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489468_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559587.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,on,1472491096,20559589,OUT_OF_MEMORY,18,pfile18,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559589_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10TCM_src20489481_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559589.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,534933607,20559590,OUT_OF_MEMORY,20,pfile20,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559590_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489467_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559590.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,1239739722,20559637,OUT_OF_MEMORY,15,pfile15,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559637_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489470_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559637.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,1472491096,20559638,OUT_OF_MEMORY,18,pfile18,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559638_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489471_e0001.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559638.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,1510771779,20559639,OUT_OF_MEMORY,17,pfile17,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559639_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489472_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559639.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,1510771779,20559639,OUT_OF_MEMORY,19,pfile19,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559639_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489472_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559639.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,2082152039,20559643,OUT_OF_MEMORY,8,pfile8,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559643_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489476_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559643.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_terminal_led_fixed_20_70,off,2082152039,20559643,OUT_OF_MEMORY,19,pfile19,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559643_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489476_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559643.eval_completed.jsonl,experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv
primary_non_monotone,rover,stage2_validation_led_fixed_20_70,off,923500475,20944964,OUT_OF_MEMORY,17,pfile17,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20944964_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430415_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20944964.eval_completed.jsonl,experiment_tracking/rover_validation_seed_results_20260906.csv
primary_non_monotone,rover,stage2_validation_led_fixed_20_70,off,1239739722,20945821,OUT_OF_MEMORY,20,pfile20,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945821_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430410_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945821.eval_completed.jsonl,experiment_tracking/rover_validation_seed_results_20260906.csv
primary_non_monotone,rover,stage2_validation_led_fixed_20_70,off,1472491096,20945822,OUT_OF_MEMORY,18,pfile18,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945822_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430411_e0001.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945822.eval_completed.jsonl,experiment_tracking/rover_validation_seed_results_20260906.csv
primary_non_monotone,rover,stage2_validation_led_fixed_20_70,off,2011206605,20945826,OUT_OF_MEMORY,16,pfile16,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945826_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430408_e0000.txt,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/.resume_state/20945826.eval_completed.jsonl,experiment_tracking/rover_validation_seed_results_20260906.csv
