source_log,instance,step,elapsed_seconds,current_action,proposed_action,network_argmax_action,max_visit_count,number_tied_at_max_visits,tie_break_reason,current_policy_rank,proposed_policy_rank
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1032,1472.6342899799347,59,64,64,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1034,1476.892495393753,60,65,65,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1035,1478.8178799152374,61,65,65,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1036,1480.3353765010834,62,65,65,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1037,1481.7664387226105,64,65,65,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1039,1484.650182723999,58,65,65,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1040,1486.073275089264,59,65,65,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1042,1488.9840638637543,60,66,66,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1043,1490.4570314884186,61,66,66,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1044,1491.8830349445343,62,66,66,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1045,1493.301192998886,64,66,66,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1047,1517.0498130321503,59,65,65,6,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1049,1520.265266418457,60,66,66,6,4,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1050,1522.0121729373932,61,66,66,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1052,1525.7325415611267,62,67,67,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1053,1527.7628848552704,64,67,67,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1054,1529.6224970817566,65,67,67,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1055,1531.3862075805664,66,67,67,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1057,1534.8346178531647,60,67,67,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1058,1536.1501080989838,61,67,67,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1059,1537.4765293598175,62,67,67,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1061,1540.3184440135956,64,68,68,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1062,1541.7361195087433,65,68,68,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1063,1543.0835480690002,66,68,68,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1064,1544.551115989685,67,68,68,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1066,1547.3495573997498,61,68,68,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1067,1548.6616456508636,62,68,68,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1069,1551.362702846527,64,69,69,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1070,1553.0289380550385,65,69,69,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1071,1554.3967578411102,66,69,69,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1072,1555.744945049286,67,69,69,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1074,1558.553188085556,62,68,68,6,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1076,1561.905106306076,64,69,69,6,4,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1077,1563.9450261592865,65,69,69,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1079,1567.8784670829773,66,70,70,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1080,1569.8131966590881,67,70,70,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1081,1571.9926257133484,68,70,70,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1082,1574.0337040424347,69,70,70,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1084,1577.1462755203247,64,70,70,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1085,1578.6588995456696,65,70,70,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1086,1580.0869150161743,66,70,70,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1088,1584.3009734153748,67,71,71,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1089,1585.7778255939484,68,71,71,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1090,1587.2355964183807,69,71,71,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1091,1588.6613748073578,70,71,71,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1093,1591.8773047924042,65,71,71,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1094,1593.7089521884918,66,71,71,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1096,1597.7692503929138,67,72,72,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1097,1600.07830286026,68,72,72,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1098,1602.6543371677399,69,72,72,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1099,1604.9233458042145,70,72,72,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1101,1609.185618877411,66,71,71,6,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1103,1613.3306918144226,67,72,72,6,4,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1104,1615.5376262664795,68,72,72,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1106,1651.4153504371643,69,73,73,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1107,1653.5756101608276,70,73,73,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1108,1655.7775712013245,71,73,73,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1109,1657.891271829605,72,73,73,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1111,1662.1723279953003,67,73,73,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1112,1664.3187568187714,68,73,73,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1113,1665.8325848579407,69,73,73,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1115,1669.7537734508514,70,75,75,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1116,1671.4794697761536,71,75,75,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1117,1673.2618761062622,72,75,75,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1118,1675.25954079628,73,75,75,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1120,1679.923984527588,68,75,75,6,5,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1121,1681.8341722488403,69,75,75,6,3,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1123,1686.9806327819824,70,76,76,6,3,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1124,1689.7407915592194,71,76,76,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1125,1692.2173936367035,72,76,76,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1126,1694.6966845989227,73,76,76,6,2,policy_prior,2,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1138,1722.837337732315,70,97,97,6,4,policy_prior,5,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1139,1725.1506159305573,69,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1140,1727.9345667362213,71,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1141,1730.3618443012238,72,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1142,1732.406594991684,73,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1143,1734.4715776443481,75,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1144,1736.674324274063,76,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1145,1738.641889333725,77,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1146,1740.4114212989807,78,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1147,1742.1214468479156,79,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1148,1743.914472103119,80,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1149,1745.6354279518127,81,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1150,1747.364782333374,82,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1151,1749.148601770401,83,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1152,1750.9092798233032,84,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1153,1752.681221961975,86,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1154,1754.4716956615448,87,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1155,1756.152313709259,88,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1156,1757.9960911273956,89,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1157,1759.7226457595825,90,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1158,1761.5124135017395,91,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1159,1763.2964177131653,92,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1160,1765.469378232956,93,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1161,1767.8323197364807,94,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1162,1782.5197682380676,95,97,97,5,5,policy_prior,4,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1163,1830.1816899776459,70,97,97,5,5,policy_prior,5,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1165,1833.5897402763367,71,99,99,5,5,policy_prior,5,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1166,1835.3036432266235,72,99,99,5,5,policy_prior,5,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1167,1836.9250044822693,97,99,99,5,4,policy_prior,3,1
.tmp_live_refresh\logs\21178320_failure_off.txt,[49] ../problems/numeric/counters/vanilla/fz_instance_51.pddl,1168,1838.7841646671295,73,99,99,5,5,policy_prior,4,1
